TCM_symptom_id,TCM_symptom_name,first_source,first_status,second_source,second_status,reason
467,筋扭伤,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
472,经寒不调,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
466,筋脉拘挛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
477,经行小腹疼痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
475,经行痛减,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
474,经行量少,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
476,经行小腹冷痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
478,经行小腹喜热,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
479,经行小腹胀痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
480,经量少有血块,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
483,经前腹痛加剧,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
485,经前乳胀,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
488,经前头痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
486,经前双乳胀痛,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
489,经前性情急躁,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
487,经前疼痛加重,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
490,经前胸闷,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
491,经少色淡,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
493,经血紫暗,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
492,经水淋漓不净,duguji,not_found,dayi,not_found,duguji: HTTP 404: page does not exist; dayi: no exact symptom result in search page
