TCM_symptom_id,TCM_symptom_name,status,updated,message
758,呕吐痰涎,ok,yes,
747,脓腐将荆,ok,yes,
763,喷嚏,ok,yes,
765,皮肤风团色红,ok,yes,
749,脓水,ok,yes,
770,皮肤潰疡,ok,yes,
759,呕吐吞酸,ok,yes,
773,皮肤青紫,ok,yes,
772,皮肤黏膜破溃,ok,yes,
768,皮肤黄染,ok,yes,
779,皮肤肿痛,ok,yes,
771,皮肤糜烂,ok,yes,
780,皮肤紫斑,ok,yes,
777,皮肤湿疹,ok,yes,
783,皮下结块,ok,yes,
775,皮肤色斑,ok,yes,
776,皮肤湿烂,ok,yes,
782,皮损呈红斑湿润,ok,yes,
785,皮疹表面覆有较厚的银白色鳞屑,ok,yes,
789,疲乏无力,ok,yes,
787,皮疹为点滴状,ok,yes,
784,皮下紫斑,ok,yes,
800,脐腹胀痛,ok,yes,
788,皮疹圆形,ok,yes,
801,起坐不利,ok,yes,
802,气闭昏厥,ok,yes,
786,皮疹色鲜红,ok,yes,
805,气粗,ok,yes,
791,脾胃气滞,ok,yes,
807,气促喘息,ok,yes,
815,气滞胃痛,ok,yes,
804,气喘咳嗽,ok,yes,
821,靑少年远视力下降,ok,yes,
817,前额压痛,ok,yes,
819,浅表脓疱,ok,yes,
812,气逆喘咳,ok,yes,
824,轻度烫伤（表皮未破),ok,yes,
811,气逆喘急,ok,yes,
828,龋齿疼痛,ok,yes,
823,轻度视力下降,ok,yes,
820,青盲雀目,ok,yes,
826,情志抑郁,ok,yes,
830,全身酸疼,ok,yes,
831,颧骨部压痛,ok,yes,
834,热病发烧,ok,yes,
825,情志不畅,ok,yes,
832,热痹疼痛,ok,yes,
848,乳房结节,ok,yes,
835,热病烦渴,ok,yes,
836,热毒泻痢,ok,yes,
840,热淋证,ok,yes,
839,热淋涩痛,ok,yes,
833,热病发热,ok,yes,
837,热毒血痢,ok,yes,
850,乳房有块,ok,yes,
844,妊娠漏血,ok,yes,
846,妊娠胎漏,ok,yes,
858,乳痈初起,ok,yes,
870,瘙痒明显,ok,yes,
867,腮腺炎肿痛,ok,yes,
871,瘙痒难忍,ok,yes,
862,乳汁郁积,ok,yes,
861,乳汁不下,ok,yes,
859,乳胀痛,ok,yes,
863,乳肿痛,ok,yes,
865,褥疮肿痛,ok,yes,
884,上下肢 偏身麻木,ok,yes,
881,伤处瘀肿疼痛,ok,yes,
876,筛状出血明显,ok,yes,
873,涩痛,ok,yes,
887,上肢疼痛,ok,yes,
877,闪腰挫气,ok,yes,
888,少腹拒按,ok,yes,
885,上消化道出血量多,ok,yes,
893,少津,ok,yes,
892,少腹坠胀,ok,yes,
894,少寐,ok,yes,
899,舌暗红,ok,yes,
890,少腹疼痛,ok,yes,
889,少腹冷痛,ok,yes,
907,舌尖边有瘀点,ok,yes,
906,舌红苔黄腻,ok,yes,
901,舌部疲斑,ok,yes,
902,舌赤,ok,yes,
900,舌边尖有瘀斑,ok,yes,
896,少食,ok,yes,
