Herb_ID,Herb_cn_name,detail_url,filled_fields,filled_values
HERB000833,臭山羊,https://www.dayi.org.cn/cmedical/1113650.html,Toxicity|Properties|Meridians,"{""Toxicity"": ""无毒"", ""Properties"": ""味苦、辛，性凉。归肺"", ""Meridians"": ""胃；肾；大肠经""}"
HERB000835,臭梧桐,https://www.dayi.org.cn/cmedical/300183.html,Meridians,"{""Meridians"": ""归肝经""}"
HERB000842,楮实子,https://www.dayi.org.cn/cmedical/1155640.html,Herb_latin_name|UsePart|Function|Indication|Properties|Meridians,"{""Herb_latin_name"": ""Broussonetiae Fructus"", ""UsePart"": ""成熟果实"", ""Function"": ""补肾清肝，明目，利尿。"", ""Indication"": ""肝肾不足，腰膝酸软，虚劳骨蒸，头晕目昏，目生翳膜，水肿胀满。"", ""Properties"": ""味甘，性寒"", ""Meridians"": ""归肝、肾经""}"
HERB000853,川党参,https://www.dayi.org.cn/cmedical/1113661.html,Properties,"{""Properties"": ""性平，味甘、微酸。""}"
HERB000860,川防风,https://www.dayi.org.cn/cmedical/1113666.html,UsePart|Function|Indication|Properties|Meridians,"{""UsePart"": ""根"", ""Function"": ""发表，祛风，胜湿，止痛。"", ""Indication"": ""风寒感冒，感冒夹湿，头痛，昏眩，寒湿腹痛，泄泻，风湿痹痛，四肢拘挛，破伤风，目赤，疮疡，疝瘕，疥癣，风疹。"", ""Properties"": ""味辛、微甘，性温"", ""Meridians"": ""归肺、膀胱、肝、脾经""}"
HERB000870,川木通,https://www.dayi.org.cn/cmedical/300187.html,UsePart|Properties|Meridians,"{""UsePart"": ""藤茎"", ""Properties"": ""味苦，性寒"", ""Meridians"": ""归心、小肠、膀胱经""}"
HERB000871,川木香,https://www.dayi.org.cn/cmedical/300188.html,Properties|Meridians,"{""Properties"": ""味辛、苦，性温"", ""Meridians"": ""归脾、胃、大肠、胆经""}"
HERB000873,穿破石,https://www.dayi.org.cn/cmedical/1113671.html,UsePart,"{""UsePart"": ""根""}"
HERB000877,穿山龙,https://www.dayi.org.cn/cmedical/300193.html,UsePart,"{""UsePart"": ""根茎""}"
HERB000881,川乌,https://www.dayi.org.cn/cmedical/300191.html,UsePart,"{""UsePart"": ""母根""}"
HERB000879,川射干,https://www.dayi.org.cn/cmedical/300190.html,UsePart|Function|Indication|Properties|Meridians,"{""UsePart"": ""根茎"", ""Function"": ""清热解毒，祛痰，利咽。"", ""Indication"": ""川射干主要用于治疗热毒痰火郁结，咽喉肿痛，痰涎壅盛，咳嗽气喘。"", ""Properties"": ""味苦，性寒，"", ""Meridians"": ""归肺经""}"
HERB000886,船形乌头,https://www.dayi.org.cn/cmedical/1113678.html,Function|Indication,"{""Function"": ""清热利湿。"", ""Indication"": ""主治胃炎，肝炎，肾炎，肠炎。""}"
HERB000898,椿白皮,https://www.dayi.org.cn/cmedical/1113710.html,Properties|Meridians,"{""Properties"": ""味苦、涩，性微寒"", ""Meridians"": ""归大肠、胃经""}"
HERB000891,木防己,https://www.dayi.org.cn/cmedical/302397.html,UsePart|Function|Indication|Properties|Meridians,"{""UsePart"": ""根"", ""Function"": ""祛风除湿，通经活络，解毒消肿。"", ""Indication"": ""用于风湿痹痛，水肿，小便淋痛，闭经，跌打损伤，咽喉肿痛，疮疡肿毒，湿疹，毒蛇咬伤。"", ""Properties"": ""味苦、辛，性寒。"", ""Meridians"": ""归膀胱、肾、脾经""}"
HERB000892,垂盆草,https://www.dayi.org.cn/cmedical/300195.html,UsePart,"{""UsePart"": ""全草""}"
HERB000903,椿皮,https://www.dayi.org.cn/cmedical/300197.html,UsePart,"{""UsePart"": ""根皮或干皮""}"
HERB000900,福寿草,https://www.dayi.org.cn/cmedical/1114111.html,Toxicity|UsePart|Function|Indication|Properties|Meridians,"{""Toxicity"": ""有毒"", ""UsePart"": ""带根全草"", ""Function"": ""强心，利尿，镇静。"", ""Indication"": ""心悸，水肿，癫痫等。"", ""Properties"": ""味苦，性平"", ""Meridians"": ""归心经""}"
HERB000917,刺果苏木,https://www.dayi.org.cn/cmedical/1113746.html,Properties,"{""Properties"": ""广州部队《常用中草药手册》：苦，凉""}"
HERB000921,刺槐花,https://www.dayi.org.cn/cmedical/1113754.html,Properties|Meridians,"{""Properties"": ""味甘，性平"", ""Meridians"": ""归肺、大肠经""}"
