Herb_ID,Herb_cn_name,status,detail_url,reason
HERB005016,生槐角,not_found,,no exact cmedical result in search page
HERB005012,生地黄,no_fields,https://www.dayi.org.cn/cmedical/1008542.html,detail page parsed but no mapped fields found
HERB005013,省沽油,no_fields,https://www.dayi.org.cn/cmedical/303441.html,detail page parsed but no mapped fields found
HERB005015,胜红蓟,no_fields,https://www.dayi.org.cn/cmedical/303445.html,detail page parsed but no mapped fields found
HERB005019,生锦纹,not_found,,no exact cmedical result in search page
HERB005020,生军,not_found,,no exact cmedical result in search page
HERB005021,生龙牡,not_found,,no exact cmedical result in search page
HERB005018,生姜汁,no_fields,https://www.dayi.org.cn/cmedical/1117561.html,detail page parsed but no mapped fields found
HERB005025,生山栀,not_found,,no exact cmedical result in search page
HERB005029,石蚕香科科,not_found,,no exact cmedical result in search page
HERB005026,生藤,no_fields,https://www.dayi.org.cn/cmedical/303439.html,detail page parsed but no mapped fields found
HERB005028,生枣,not_found,,no exact cmedical result in search page
HERB005022,升麻,no_fields,https://www.dayi.org.cn/cmedical/303436.html,detail page parsed but no mapped fields found
HERB005031,石菖蒲叶,not_found,,no exact cmedical result in search page
HERB005032,矢车菊,not_found,,no exact cmedical result in search page
HERB005027,生铁落,no_fields,https://www.dayi.org.cn/cmedical/1155643.html,detail page parsed but no mapped fields found
HERB005036,十大功劳叶,no_fields,https://www.dayi.org.cn/cmedical/303456.html,detail page parsed but no mapped fields found
HERB005035,十大功劳木,not_found,,no exact cmedical result in search page
HERB005030,石菖蒲,ok_no_empty_fields,https://www.dayi.org.cn/cmedical/1115418.html,matched page but target columns already had values
HERB005037,十大功劳子,not_found,,no exact cmedical result in search page
HERB005040,十帝钱,not_found,,no exact cmedical result in search page
HERB005038,石胆草,no_fields,https://www.dayi.org.cn/cmedical/303473.html,detail page parsed but no mapped fields found
HERB005039,柿蒂,ok_no_empty_fields,https://www.dayi.org.cn/cmedical/303569.html,matched page but target columns already had values
HERB005047,石柑子,no_fields,https://www.dayi.org.cn/cmedical/303484.html,detail page parsed but no mapped fields found
HERB005051,石斛,ok_no_empty_fields,https://www.dayi.org.cn/cmedical/303487.html,matched page but target columns already had values
HERB005053,石斛小菇,not_found,,no exact cmedical result in search page
HERB005052,石蝴蝶,no_fields,https://www.dayi.org.cn/cmedical/1115152.html,detail page parsed but no mapped fields found
HERB005057,石灰华,no_fields,https://www.dayi.org.cn/cmedical/1117169.html,detail page parsed but no mapped fields found
HERB005058,石荠宁,no_fields,https://www.dayi.org.cn/cmedical/1117119.html,detail page parsed but no mapped fields found
HERB005061,石决明,ok_no_empty_fields,https://www.dayi.org.cn/cmedical/1118055.html,matched page but target columns already had values
HERB005060,石椒草,no_fields,https://www.dayi.org.cn/cmedical/303497.html,detail page parsed but no mapped fields found
HERB005064,使君子叶,no_fields,https://www.dayi.org.cn/cmedical/303566.html,detail page parsed but no mapped fields found
HERB005062,使君子,ok_no_empty_fields,https://www.dayi.org.cn/cmedical/303564.html,matched page but target columns already had values
HERB005069,石榴,not_found,,no exact cmedical result in search page
HERB005065,苦苣,no_fields,https://www.dayi.org.cn/cmedical/301588.html,detail page parsed but no mapped fields found
HERB005068,石莲子,ok_no_empty_fields,https://www.dayi.org.cn/cmedical/303507.html,matched page but target columns already had values
HERB005067,石栗子,no_fields,https://www.dayi.org.cn/cmedical/303506.html,detail page parsed but no mapped fields found
HERB005074,石榴种子,not_found,,no exact cmedical result in search page
HERB005071,石榴皮,ok_no_empty_fields,https://www.dayi.org.cn/cmedical/303511.html,matched page but target columns already had values
HERB005076,石落子,not_found,,no exact cmedical result in search page
HERB005079,石南藤,no_fields,https://www.dayi.org.cn/cmedical/303526.html,detail page parsed but no mapped fields found
