Herb_ID,Herb_cn_name,chp_detail_url,dayi_detail_url,chp_filled_fields,dayi_filled_fields,filled_values
HERB005192,水团花,,https://www.dayi.org.cn/cmedical/303753.html,,Properties,"{""Properties"": ""味苦、涩，性凉""}"
HERB005198,水杨梅,,https://www.dayi.org.cn/cmedical/303769.html,,Properties,"{""Properties"": ""味苦、涩，性凉""}"
HERB005209,水栀叶,,https://www.dayi.org.cn/cmedical/303781.html,,Properties|Meridians,"{""Properties"": ""味涩，性平。"", ""Meridians"": ""归肝经""}"
HERB005207,水栀,,https://www.dayi.org.cn/cmedical/303779.html,,Function|Indication|Properties|Meridians,"{""Function"": ""清热解毒，消肿止痛。"", ""Indication"": ""用于热毒，黄疸，鼻衄，肾炎水肿，挫伤扭伤。"", ""Properties"": ""味苦，性寒。"", ""Meridians"": ""归心、肝经""}"
HERB005196,水仙根,,https://www.dayi.org.cn/cmedical/303765.html,,Toxicity|Properties|Meridians,"{""Toxicity"": ""有毒"", ""Properties"": ""味苦、微辛，性寒。"", ""Meridians"": ""归心、肺经""}"
HERB005222,丝瓜络,https://ydz.chp.org.cn/#/item?bookId=1&entryId=184,https://www.dayi.org.cn/cmedical/303795.html,Properties|Meridians,,"{""Properties"": ""甘，平"", ""Meridians"": ""归肺、胃、肝经""}"
HERB005262,松萝,,https://www.dayi.org.cn/cmedical/306233.html,,Toxicity|Properties|Meridians,"{""Toxicity"": ""无毒《名医别录》"", ""Properties"": ""味甘、苦，性平，"", ""Meridians"": ""归心、肾、肺经""}"
HERB005259,松节,,https://www.dayi.org.cn/cmedical/303837.html,,Toxicity|UsePart,"{""Toxicity"": ""无毒"", ""UsePart"": ""马尾松、油松及其同属植物枝干的结节""}"
HERB005258,松花粉,https://ydz.chp.org.cn/#/item?bookId=1&entryId=318,https://www.dayi.org.cn/cmedical/303835.html,Herb_latin_name|UsePart|Properties|Meridians|Function,,"{""Herb_latin_name"": ""PINI POLLEN"", ""UsePart"": ""花"", ""Properties"": ""甘，温"", ""Meridians"": ""归肝、脾经"", ""Function"": ""收敛止血，燥湿敛疮""}"
HERB005260,松节油,,https://www.dayi.org.cn/cmedical/1116652.html,,UsePart|Properties|Meridians,"{""UsePart"": ""油树脂"", ""Properties"": ""味苦，性温"", ""Meridians"": ""归肝、肾经""}"
