Herb_ID,Herb_cn_name,detail_url,filled_fields,filled_values
HERB002986,荆芥穗,https://ydz.chp.org.cn/#/item?bookId=1&entryId=363,Herb_latin_name|UsePart|Properties|Meridians|Function|Indication,"{""Herb_latin_name"": ""SCHIZONEPETAE SPICA"", ""UsePart"": ""花"", ""Properties"": ""辛，微温"", ""Meridians"": ""归肺、肝经"", ""Function"": ""解表散风，透疹，消疮"", ""Indication"": ""用于感冒，头痛，麻疹，风疹，疮疡初起。""}"
HERB003000,救必应,https://ydz.chp.org.cn/#/item?bookId=1&entryId=492,Properties|Meridians,"{""Properties"": ""苦，寒"", ""Meridians"": ""归肺、胃、大肠、肝经""}"
HERB003004,韭菜子,https://ydz.chp.org.cn/#/item?bookId=1&entryId=400,Properties|Meridians,"{""Properties"": ""辛、甘，温"", ""Meridians"": ""归肝、肾经""}"
HERB003010,九里香,https://ydz.chp.org.cn/#/item?bookId=1&entryId=9,Properties|Meridians,"{""Properties"": ""辛、微苦，温；有小毒"", ""Meridians"": ""归肝、胃经""}"
HERB003028,橘红,https://ydz.chp.org.cn/#/item?bookId=1&entryId=604,Herb_latin_name|Properties|Meridians|Function|Indication,"{""Herb_latin_name"": ""CITRI EXOCARPIUM RUBRUM"", ""Properties"": ""辛、苦，温"", ""Meridians"": ""归肺、脾经"", ""Function"": ""理气宽中，燥湿化痰"", ""Indication"": ""用于咳嗽痰多，食积伤酒，呕恶痞闷。""}"
HERB003039,菊苣,https://ydz.chp.org.cn/#/item?bookId=1&entryId=489,UsePart|Properties|Meridians,"{""UsePart"": ""地上部分"", ""Properties"": ""微苦、咸，凉"", ""Meridians"": ""归肝、胆、胃经""}"
HERB003136,苦地丁,https://ydz.chp.org.cn/#/item?bookId=1&entryId=311,Function,"{""Function"": ""清热解毒，散结消肿""}"
HERB003153,苦楝皮,https://ydz.chp.org.cn/#/item?bookId=1&entryId=314,Herb_latin_name|UsePart|Properties|Meridians|Function,"{""Herb_latin_name"": ""MELIAE CORTEX"", ""UsePart"": ""树皮"", ""Properties"": ""苦，寒；有毒"", ""Meridians"": ""归肝、脾、胃经"", ""Function"": ""杀虫，疗癣""}"
HERB003159,苦木,https://ydz.chp.org.cn/#/item?bookId=1&entryId=309,Properties|Meridians,"{""Properties"": ""苦，寒；有小毒"", ""Meridians"": ""归肺、大肠经""}"
HERB003167,苦参,https://ydz.chp.org.cn/#/item?bookId=1&entryId=313,Properties|Meridians,"{""Properties"": ""苦，寒"", ""Meridians"": ""归心、肝、胃、大肠、膀胱经""}"
HERB003175,苦玄参,https://ydz.chp.org.cn/#/item?bookId=1&entryId=310,Properties|Meridians,"{""Properties"": ""苦，寒"", ""Meridians"": ""归肺、胃、肝经""}"
HERB003192,款冬花,https://ydz.chp.org.cn/#/item?bookId=1&entryId=526,UsePart,"{""UsePart"": ""花蕾""}"
HERB003232,辣椒,https://ydz.chp.org.cn/#/item?bookId=1&entryId=589,Function,"{""Function"": ""温中散寒，开胃消食""}"
HERB003269,狼毒,https://ydz.chp.org.cn/#/item?bookId=1&entryId=450,Properties|Meridians,"{""Properties"": ""辛，平；有毒"", ""Meridians"": ""归肝、脾经""}"
HERB003291,雷丸,https://ydz.chp.org.cn/#/item?bookId=1&entryId=565,UsePart,"{""UsePart"": ""菌核""}"
HERB003353,莲房,https://ydz.chp.org.cn/#/item?bookId=1&entryId=431,UsePart|Properties|Meridians,"{""UsePart"": ""花"", ""Properties"": ""苦、涩，温"", ""Meridians"": ""归肝经""}"
HERB003359,连钱草,https://ydz.chp.org.cn/#/item?bookId=1&entryId=264,Herb_latin_name|UsePart|Properties|Meridians|Function,"{""Herb_latin_name"": ""GLECHOMAE HERBA"", ""UsePart"": ""地上部分"", ""Properties"": ""辛、微苦，微寒"", ""Meridians"": ""归肝、肾、膀胱经"", ""Function"": ""利湿通淋，清热解毒，散瘀消肿""}"
HERB003360,连钱草,https://ydz.chp.org.cn/#/item?bookId=1&entryId=264,Properties|Meridians,"{""Properties"": ""辛、微苦，微寒"", ""Meridians"": ""归肝、肾、膀胱经""}"
HERB003384,两面针,https://ydz.chp.org.cn/#/item?bookId=1&entryId=263,UsePart,"{""UsePart"": ""根""}"
HERB003391,两头尖,https://ydz.chp.org.cn/#/item?bookId=1&entryId=262,UsePart|Properties|Meridians,"{""UsePart"": ""根茎"", ""Properties"": ""辛，热；有毒"", ""Meridians"": ""归脾经""}"
HERB003416,赤芍,https://ydz.chp.org.cn/#/item?bookId=1&entryId=245,UsePart|Properties|Meridians|Function|Indication,"{""UsePart"": ""根"", ""Properties"": ""苦，微寒"", ""Meridians"": ""归肝经"", ""Function"": ""清热凉血，散瘀止痛"", ""Indication"": ""用于热入营血，温毒发斑，吐血衄血，目赤肿痛，肝郁胁痛，经闭痛经，癥瘕腹痛，跌扑损伤，痈肿疮疡。""}"
HERB003395,蓼大青叶,https://ydz.chp.org.cn/#/item?bookId=1&entryId=578,UsePart|Properties|Meridians,"{""UsePart"": ""叶"", ""Properties"": ""苦，寒"", ""Meridians"": ""归心、胃经""}"
HERB003439,凌霄花,https://ydz.chp.org.cn/#/item?bookId=1&entryId=451,UsePart,"{""UsePart"": ""花""}"
HERB003444,灵芝,https://ydz.chp.org.cn/#/item?bookId=1&entryId=290,Function,"{""Function"": ""补气安神，止咳平喘""}"
