Disease_id	Disease_name	Disease_alias_name	DisGeNET_disease_type	UMLS_disease_type	MeSH_disease_class	HPO_disease_class	DO_disease_class	UMLS_disease_type_id	MeSH_disease_class_id	HPO_disease_class_id	DO_disease_class_id	DisGeNET_id	MeSH_id	HPO_id	DO_id	ICD10_id	OMIM_id
HBDIS002011	Mycobacterium Infections	Mycobacterial Infection, Unspecified; Mycobacterium Infections	group	Disease or Syndrome	Infections	NA	NA	T047	C01	NA	NA	C0026918	D009164	NA	NA	A31.9	NA
HBDIS002012	Mycobacterium Infections, Nontuberculous	Mycobacterium Infections, Nontuberculous; Atypical Mycobacteriosis, Familial; Mycobacterium Abscessus Infection	group	Disease or Syndrome	Infections	NA	NA	T047	C01	NA	NA	C0026919	D009165	NA	NA	NA	NA
HBDIS002013	Mycoplasma Infections	Mycoplasma Infection, Unspecified; Eperythrozoonosis; Mycoplasma Infections	group	Disease or Syndrome	Infections	NA	NA	T047	C01	NA	NA	C0026936	D009175	NA	NA	A49.3	NA
HBDIS002014	Mycoses	Unspecified Mycosis; Fungal Infectious Disease; Mycoses	group	Disease or Syndrome	Infections	NA	disease by infectious agent	T047	C01	NA	DOID:0050117	C0026946	D009181	NA	1564	B35-B49.9; B49	NA
HBDIS002015	Mycosis Fungoides	Mycosis Fungoides	group	Neoplastic Process	Immune System Diseases; Neoplasms; Hemic and Lymphatic Diseases	NA	disease of anatomical entity; disease of cellular proliferation	T191	C04; C15; C20	NA	DOID:14566; DOID:7	C0026948	D009182	NA	8691	C84.0	254400
HBDIS002016	Mydriasis	Mydriasis; Dilated Pupil	phenotype	Sign or Symptom	Eye Diseases	Abnormality of the eye	NA	T184	C11	HP:0000478	NA	C0026961	D015878	HP:0011499	NA	NA	NA
HBDIS002017	Myelitis	Infectious Myelitis; Myelitis; Inflammation of Spinal Cord	disease	Disease or Syndrome	Infections; Nervous System Diseases	Abnormality of the immune system; Abnormality of the nervous system	disease of anatomical entity	T047	C01; C10	HP:0002715; HP:0000707	DOID:7	C0026975	D009187	HP:0012486	322	NA	NA
HBDIS002018	Myelitis, Transverse	Myelitis, Acute Transverse; Myelitis, Transverse; Myelitis, Postinfectious	disease	Disease or Syndrome	Nervous System Diseases; Immune System Diseases; Infections; Neoplasms	NA	NA	T047	C04; C01; C10; C20	NA	NA	C0026976	D009188	NA	NA	NA	NA
HBDIS002019	Myelodysplasia	NA	disease	Congenital Abnormality	NA	NA	NA	T019	NA	NA	NA	C0026985	NA	NA	NA	NA	NA
HBDIS002020	Myelofibrosis	Myelofibrosis	disease	Neoplastic Process	Hemic and Lymphatic Diseases; Neoplasms; Pathological Conditions, Signs and Symptoms	Abnormality of blood and blood-forming tissues	disease of anatomical entity; disease of cellular proliferation	T191	C04; C15; C23	HP:0001871	DOID:14566; DOID:7	C0026987	NA	HP:0011974	4971	NA	254450
HBDIS002021	Myeloid Hyperplasia	NA	disease	Disease or Syndrome	Pathological Conditions, Signs and Symptoms	NA	NA	T047	C23	NA	NA	C0026996	NA	NA	NA	NA	NA
HBDIS002022	Acute Myeloid Leukemia, M1	Leukemia, Myelocytic, Acute; Acute Myeloid Leukemia; Leukemia, Myeloid, Acute, M2; Leukemia, Myeloid, Acute, M1; Leukemia, Myeloid, Acute	disease	Neoplastic Process	Neoplasms	NA	disease of anatomical entity; disease of cellular proliferation	T191	C04	NA	DOID:14566; DOID:7	C0026998	D015470	NA	9119	NA	NA
